Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;Tibetan
declare_merchant_war_desc;The Pirate wars have devastated the Genoese republic-Our historical rival. Jingoists within our Senato are demanding that we take action in this historical opportunity-and it will be foolish to go against their wishes. We shall demand that all their remaining colonies are given to us with the threat of war.;;;;;;;;;;;;;
genoa_to_venice_peace_title;The Merchants Peace;;;;;;;;;;;;;
genoa_to_venice_peace_desc;The war between the two Merchant republics of Italia has been concluded. Now, it is time to dictate the peace. ;;;;;;;;;;;;;
venice_to_genoa_peace_title;The Merchants Peace;;;;;;;;;;;;;
venice_to_genoa_peace_desc;The war between the two Merchant republics of Italia has been concluded. Now, it is time to dictate the peace. ;;;;;;;;;;;;;
brg_arpitan_title;Claim Arpitania;;;;;;;;;;;;;
brg_arpitan_desc;Arpitania has historical, cultural, and economical ties to our Burgundian realm. Now that the French Rulers are gone and the region is in Anarchy, an opportunity has risen for us to finally install our rightful rule to that region.;;;;;;;;;;;;;
brg_savoie_title;Claim Savoie;;;;;;;;;;;;;
conquer_sahara_dam_title;Conquer the Sahara;;;;;;;;;;;;;
conquer_sahara_dam_desc;The Tribes of the desert are slowly accepting our rule-and showing our military might will certainly help that progress. The Sahara will be ours!;;;;;;;;;;;;;
core_FRR_title;The Light of Revolution;;;;;;;;;;;;;
core_FRR_desc;The Ancien Regime has fallen-and our new government will rise like a Phoenix from its ashes. Already, regions are recognizing our rule and taxes are beginning to flow in. Now we can start on the long road for recovery! Vive la France!;;;;;;;;;;;;;
claim_east_sahara_title;Conquer The East;;;;;;;;;;;;;
claim_east_sahara_desc;The Sahara is aching for our holy rule-and we are capable of delivering it. The East will be ours!;;;;;;;;;;;;;
claim_mecca_title;Conquer Mecca;;;;;;;;;;;;;
claim_mecca_desc;The Holy city of Mecca is now within our grasp. The prestige of taking Mecca and Medina will be astronomous-And we will achieve it. ;;;;;;;;;;;;;
declare_caliphate_title;Declare the new Caliphate;;;;;;;;;;;;;
declare_caliphate_desc;The Holy cities are now within our grasps. The world beckons at our might, and the Ummah looks upon us for guidence. Now, it is time for us to take up the mantle of the new Caliphate-The Ummah will be protected by us.;;;;;;;;;;;;;
option_enable_tiniri_title;Enable the Tiniri Sultanate;;;;;;;;;;;;;
option_enable_tiniri_desc;The Tiniri sultanate is one of the more unrealistic ideas of the mod. It spawns a civilized Muslim Caliphate that can take over the Islamic world and secedes everyone's owned provinces in a large area below Algeria and around Timbuktu. This can be annoying if you are playing a colonial game so, if you want this to exist for some reason, here is an option to enable it.;;;;;;;;;;;;;
suvarnabhumi_formation_title;Form the Suvarnabhumi Empire;;;;;;;;;;;;;
suvarnabhumi_formation_desc;We have united all the Tai people in South East Asia. We shall form the Suvarnabhumi Empire;;;;;;;;;;;;;
laos_conquer_siam_title;Invade Siam;;;;;;;;;;;;;
laos_conquer_siam_desc;Even though the Siamnese are Tai we have a history of fighting each other we should unite all the Tai people in South East Asia;;;;;;;;;;;;;
siam_conquer_laos_title;Invade Laos;;;;;;;;;;;;;
siam_conquer_laos_desc;Even though the Lao people are Tai we have a history of fighting each other we should unite all the Tai people in South East Asia;;;;;;;;;;;;;
suvarnabhumi_expands_title;Take back our homeland;;;;;;;;;;;;;
suvarnabhumi_expands_desc;The lands that we're once populated by the Tais are now controlled by the Chinese. We will take back our homeland.;;;;;;;;;;;;;
suvarnabhumi_takes_shan_title;Liberate the Shan;;;;;;;;;;;;;
suvarnabhumi_takes_shan_desc;The Shans are out Tai brother they're now under the Tibeto-Burmans rule we will liberate them from the Tibeto-Burmans!;;;;;;;;;;;;;
mexico_dixie_coast_title;Control the Northern Karib Coast;;;;;;;;;;;;;
mexico_dixie_coast_desc;Having achieved dominion over the Friedensland desert we must continue to safeguard the Karib sea as our people's own.;;;;;;;;;;;;;
mexico_south_karib_coast_title;The Southern Karib Coast;;;;;;;;;;;;;
mexico_south_karib_coast_desc;We have brought the Ngabe and Miskito, the last surviving Kolumbian tribes, under our protection. We cannot stop with them, however, for the Afro-Caribeno freed slaves of the Jesuits inhabit the southern Karib Coast. Claiming their lands will truly make us rulers of the Karib Sea;;;;;;;;;;;;;
mexico_carribean_title;Claim the Karib Islands;;;;;;;;;;;;;
mexico_carribean_desc;The Karib Islands are rich in cash crops and reasonably densely populated. They pose a high strategic importance, allowing for the control of regional trade and increasing naval supply and travel range if we are to assert control over them.;;;;;;;;;;;;;
form_deytshland_title;Form Germany;;;;;;;;;;;;;
form_hre_desc;After the long opression by the people, its now our time to join them and unite the german people ;;;;;;;;;;;;;
unite_toledo_leon_title;Reunite Toledo and Léon;;;;;;;;;;;;;
unite_toledo_leon_desc;Toledo and Leon once stood united in Iberia, but differences tore us apart.Its time to return to a time before I did that mistake happened;;;;;;;;;;;;;
liberate_the_gascons_title;Save the Gascon Brothers;;;;;;;;;;;;;
liberate_the_gascons_desc;Immediately to our North and North East can be found the Gascons. Once, they were pure Euskarrans like us. Then, they fell under the oppression of the Latin Occitans, who have over the years slowly but surely been dragging their minds and hearts away from us. We cannot let this happen any longer! We must rescue them from the latinate perversions, for no true Euskarran stands alone. ALL FOR ONE AND ONE FOR ALL!;;;;;;;;;;;;;
rebuild_london_title;Rebuild London;;;;;;;;;;;;;
rebuild_london_desc;London is the most important city of England but it has been heavily damaged by the civil war. Now we have the capabilities of rebuilding it as long as we have a good funding.;;;;;;;;;;;;;
england_rebuild_program_title;The England rebuild plan;;;;;;;;;;;;;
england_rebuild_program_desc;We have greatly rebuilt London but the rest of urban England is still heavily damaged and hasn't fully recovered but we have the economic capabilites to do an extraordinary rebuilding plan;;;;;;;;;;;;;
unite_with_the_min_title;The Fujian Reunion;;;;;;;;;;;;;
unite_with_the_min_desc; The Min chinese gave us many good things: gunpowder, the printing press, masonry, shipbuilding, and of course, our national borders. Our good memory of them is why we are the only Japonic state aside from Ryukyu that embraces Chinese people. It is thus unwise and dishonorable to leave the Min homelands alone and undefended within mainland China. Their rapacious Hakka and Yue neighbors, as well as the Mandarin blob being directed from Dadu threaten to destroy their beautiful culture. We will not let that happen!;;;;;;;;;;;;;
subjugate_yue_title;The Guangzhou Coast;;;;;;;;;;;;;
subjugate_yue_desc;Having solidifed our protection of the Min homeland, we look to their southwest, to their longtime frenemies, the Yue Chinese. While we have no negative memories of them, we have no positive memories of them either, and taking their lands would significantly increase our control of the South China Sea.;;;;;;;;;;;;;
create_hispania_title;Create Hispania;;;;;;;;;;;;;
create_hispania_desc;Andalucian, Portuguese, Castillian, Galician, Catalan, Asturleonese, and Basque. All brother cultures, coming from the same routes. They must not continue to be split, and they will be much more stronger if they are together. They must unite under a single flag-the flag of Hispania!;;;;;;;;;;;;;
embrace_the_syriacs_title;The Syriac Brothers;;;;;;;;;;;;;
embrace_the_syriacs_desc;Having liberated the Holy Land from its long subjugation under the yoke of Muhammad, we can extend citizenship rights to our Semitic co-religionists, the grandnephews and grandnieces of our Lord who speak the language he spoke and live in the environment he did as a human being;;;;;;;;;;;;;
edict_of_gotland_title;Edict of Gotland;;;;;;;;;;;;;
edict_of_gotland_desc;NOTE: THIS WILL MAKE YOU NOLONGER FORM GERMANY, With our great Republic we can finally secure our position as the Merchant League of all peoples;;;;;;;;;;;;;
centralize_hanse_no_title;Centralize the League;;;;;;;;;;;;;
centralize_hanse_no_desc;Now our time has come to Unite the league into a centralized state with exact Borders;;;;;;;;;;;;;
france_natural_borders_title;Natural Borders;;;;;;;;;;;;;
france_natural_borders_desc;With our rise from the ashes the french pheonix may rise to our true strength from the Rhine to Barcelona!;;;;;;;;;;;;;
MP_leadership_title;MP Leadership Points;;;;;;;;;;;;;
MP_leadership_desc;Leadership and a small boost;;;;;;;;;;;;;
reform_lotharingia_title;Reform Lotharingia;;;;;;;;;;;;;
reform_lotharingia_desc;We long beared the name of our ancestors, the Lotharingians also known as Lorraine or Lothringen.Its time to be true to our name and reform Lotharingia as the true heirs of Lothar;;;;;;;;;;;;;
reforms_francia_title;Reform Francia;;;;;;;;;;;;;
reforms_francia_desc;Return of the true Empire, as Lothar did we bear the crown of the empire and are the heirs of the Carolingians;;;;;;;;;;;;;
enforce_rule_over_sgirur_title;Reconquest of Mordredland;;;;;;;;;;;;;
enforce_rule_over_sgirur_desc;Our crown colony of New Scotland used to be crucial for our trade routes. Since their independence in 1798 our influence has waned although on paper we have access to a portion of their market. It's time to send a military expedition over and enforce full control over the former colony.;;;;;;;;;;;;;
bhimsen_thapa_title;Bhimsen Thapa's Reforms;;;;;;;;;;;;;
bhimsen_thapa_desc;Our great general, Bhimsen Thapa, has, after much hard work, created a unified military doctrine for our soldiers. With this, our Gorkhas will be just as stout under fire, supply-stingy and experienced as the famed Punjabis are.;;;;;;;;;;;;;
TEX_Form_VKS_title;Unite Germanic Colombia;;;;;;;;;;;;;
TEX_Form_VKS_desc;The Germanic peoples of Colombia have been brought together under the banner of Freiland, whether through force of arms or more peaceful means the future of this continent is in our hands. To a bright future together!;;;;;;;;;;;;
VKS_Annnex_AKI_title;Integrate Akino;;;;;;;;;;;;;
VKS_Annnex_AKI_desc;The last German state in Colombia has at last been united with their brothers to the south, once a dominant power of the continent their industrial base and large population will provide many benefits to our republic.;;;;;;;;;;;;;
VKS_Border_title;Settle the Hinterland;;;;;;;;;;;;;
VKS_Border_desc;With the unification of the German colombian states we can now settle the hinterlands not yet under our control with little resistence, any natives or other powers in the region shall surely back down.;;;;;;;;;;;;;
VKS_Free_Slaves_title;Free the Slaves of Amoucadia;;;;;;;;;;;;;
VKS_Free_Slaves_desc;Kolumbia and its predecessor Freiland were founded in the fires of the destruction of slavery, yet the only other power on this continent still practices it. We shall crush the Acadiens for freedom, to the end of Tyranny!;;;;;;;;;;;;;
VKS_Destroy_Amauldi_title;Destroy Amoucadien Identity;;;;;;;;;;;;;
VKS_Destroy_Amauldi;With the destruction of the Amoucadien nation it is clear their barbaric slave based culture must be destroyed. From this day forth and forevermore the French language and customs shall be banned within the state of Kolumbia, may their ways die with slavery!;;;;;;;;;;;;;
reconsile_france_title;Reconsile with France;;;;;;;;;;;;;
reconsile_france_desc; ;;;;;;;;;;;;;
reform_manace_title;Reform Menace;;;;;;;;;;;;;
reform_manace_desc; ;;;;;;;;;;;;;
more_land_more_profit_title;Expand Plantations West;;;;;;;;;;;;;
more_land_more_profit_desc; ;;;;;;;;;;;;;
crush_the_slaves_title;Crush the Slaves;;;;;;;;;;;;;
crush_the_slaves_desc; ;;;;;;;;;;;;;
secure_the_seas_title;Secure the Seas;;;;;;;;;;;;;
secure_the_seas_desc; ;;;;;;;;;;;;;
cede_gibralta_title;Steal the Genoan Holdings;;;;;;;;;;;;;
cede_gibralta_desc;Gibraltar, Ceuta and Mellila the ports parting our holdings. Since their conquest of the region, the Genoese have using them as their bases of commerce in the Western Mediteranian. Now that the Genoans are in turmoil, we can seize the ports and finally unite our lands, and the extra commerce will be a welcome addition to our economy.;;;;;;;;;;;;;
holy_union_title;Unite the Crusader Kingdoms;;;;;;;;;;;;;
holy_union_desc;After our liberation of the Holy Land and the entire eastern Roman Empire as a whole, its now our chance to unite our heads of states on our way to unite the catholic church;;;;;;;;;;;;;
holy_federation_title;The Holy Federation;;;;;;;;;;;;;
holy_federation_desc;Now that all our states have been united, it's now time to fully unite the catholic church in the state of the Holy Order ;;;;;;;;;;;;;
form_ife_title;Form Ife;;;;;;;;;;;;;
form_ife_desc;At the dawn of yoruba civilization stand Ife, the first city and from which our culture spread.Its the historic and religious capital of the Yoruba and truly our first empire.It stood long and strong, but in the middle of the 17th century it fell apart and it collapsed in on itself, ending true Yoruban hegemony in the Niger-Benue-Ogun Lands, allowing the Songhai to conquer the Kwa and the Hausa, that was the worst mistake that could have been made so lets redeam ourselfs and return to true Yoruba hegemony;;;;;;;;;;;;;
unite_the_coast_ubd_title;Unite the Coast;;;;;;;;;;;;;
unite_the_coast_ubd_desc;The duchy in the North has been part of our influence for a long time.Now the time has come to unite the Coast;;;;;;;;;;;;;
accept_east_germans_title;Accept East Germans;;;;;;;;;;;;;
accept_east_germans_desc;These Germans;;;;;;;;;;;;;
return_polabia_title;Return of Polabia;;;;;;;;;;;;;
return_polabia_desc;The Sorbs shall return to greatness;;;;;;;;;;;;;
outside_form_germany_title;Reorganize Germany;;;;;;;;;;;;;
outside_form_germany_desc;With most of the German peoples under our will and influence, we can shape their political configuartions in our will and paint the map without acual reprecoussions;;;;;;;;;;;;;
form_nguni_title;Unite the Nguni;;;;;;;;;;;;;
form_nguni_desc;The Nguni people have historically been divided, but if we are to survive the upcoming decades, we must unite as one. We have achieved that through our force of will, now it is time for our people to recocgnize this;;;;;;;;;;;;;
lothar_accept_title;Accept the Lotharingians;;;;;;;;;;;;;
lothar_accept_desc;With our recent re-incorporation of many cultures into our realm, it is time to give them equal status to our german population;;;;;;;;;;;;;
francia_accept_title;Accept the Franks;;;;;;;;;;;;;
francia_accept_desc;With our recent re-incorporation of many cultures into our realm, it is time to give them equal status to our german population;;;;;;;;;;;;;
one_point_five_infamy_title;Option: Adjust Infamy Reduction;;;;;;;;;;;;;
one_point_five_infamy_desc;Playing with just -0.1 infamy reduction can get a bit slow. Why not spice it up a bit?;;;;;;;;;;;;;
one_point_five_infamy_reduction;Increased Infamy Reduction;;;;;;;;;;;;;
claim_galicia_hun_title;Claim Galicia;;;;;;;;;;;;;
claim_galicia_hun_desc;Our growing power must extend beyond the Carpathians!;;;;;;;;;;;;;
dios_y_pueblo_title;Dios, Patria, y Pueblo;;;;;;;;;;;;;
dios_y_pueblo_desc;The liberation of the poor whether Basque, Catalan or Spanish, is a commandment from God. This is the truth which the corrupt landed Basque clergy and nobility tried to hide from us, and it is the truth their supporters in Aragon and Leon try to take from us. Thankfully, we have God's favor in this struggle. Fight bitterly to preserve our equality, brothers!;;;;;;;;;;;;;
coal_in_carezzonico_title;Pallavicino's Proposal;;;;;;;;;;;;;
coal_in_carezzonico_desc;Gennaro Pallavicino, Merchant-Governor of our largely agricultural colony of Leonardia, has sent us the most exciting news: Coal has been discovered in the colony's old capital of Ca'Rezzonico, and he seeks our permission to develop the island into a productive mining district.;;;;;;;;;;;;;
the_semporna_expedition_title;The Semporna Expedition;;;;;;;;;;;;;
the_semporna_expedition_desc;We brave children of Hadramaut have only one reason to suffer the hatred of the Saban Sea Nomads: deriving profit. Despite this single minded objective, technology has limited our past reach such that the Japanese halfbreeds and the dying Sultan in Brunei were able to snatch a few other livable ports from us. Thankfully however, advances at home have opened a new profit opportunity to us: establishing a fortified village on the settlement our kind subjects call Semporna, and hope that their fishing economy will eventually become something more valuable. Hopefully, the Japanese Halfbreeds and the Bruneians are not offended by this;;;;;;;;;;;;;
take_lahad_datu_eth_title;The Lahad Datu Expedition;;;;;;;;;;;;;
take_lahad_datu_eth_desc;With most of previously-free Sabah now divided between us and the Japanese halflings, the time has come to seal the mountain village of Tongod from the coast by taking the last strip of uncolonized land; the coastal village of Lahad Datu. It must be noted, though, that doing so, will anger the Japanese halfbreeds, to the point that they will likely declare war on us to unite the East Saban region under their singular rule.;;;;;;;;;;;;;
take_lahad_datu_sai_title;The Lahad Datu Expedition;;;;;;;;;;;;;
take_lahad_datu_sai_desc;With most of previously-free Sabah now divided between us and the Overseas Arabians, the time has come to seal the mountain village of Tongod from the coast by taking the last strip of uncolonized land; the coastal village of Lahad Datu. It must be noted, though, that doing so, will anger the Overseas Arabians, to the point that they will likely declare war on us to unite the East Saban region under their singular rule.;;;;;;;;;;;;;
purchase_scilly_title;Offer to Purchase the Isles of Scilly;;;;;;;;;;;;;
purchase_scilly_desc;With the Merchant Republic of Genoa in crisis, their trade empire is collapsing around them. Already, several islands once considered integral territory have revolted against their thalassocratic rule. With whispers of a liberal revolution in the grand city of Genoa itself looming on the horizon, the time seems ripe to correct a bizarre misprint on the map and return the Isles of Scilly to Wales. Surely those rocky outcroppings thousands of kilometers away from home ports aren't worth adding a new enemy to Genoa's current troubles?;;;;;;;;;;;;;
rename_scilly_title;Rename Sorlinghe to Syllan;;;;;;;;;;;;;
rename_scilly_desc;Scilly is once again under native Celtic rule, and so must have its foreign name replaced with its celtic name;;;;;;;;;;;;;
intervene_in_the_english_civil_war_title;Intervene in the English Civil War!;;;;;;;;;;;;;
intervene_in_the_english_civil_war_desc;Our once feared neighbor has split herself in two, fighting brother against brother over the ideals of constitutional and absolute monarchy. Not only does the King in Westminster oppose our liberal ideals, he oppresses our cultural kin in Cornwall and covets our own homeland for his domain. Although our army is scarcely half as large as his, the forces of England and Westminster are already fairly evenly matched. If we strike now, we can tip the balance of this conflict in our favor, freeing our brothers and imposing a debt on the English Parliamentarians for handing them the victory.;;;;;;;;;;;;; 
emancipate_afros_title;Give Rights to the Slaves;;;;;;;;;;;;;
emancipate_afros_desc;We shall accept the Africans in our nation;;;;;;;;;;;;;
religious_unity_ottomans_title;Enforce Religious Unity;;;;;;;;;;;;;
religious_unity_ottomans_desc;We have many Christians in our realm, we have been tolerating them for long but we have reason to suggest that they are hurting our nation in the long run.;;;;;;;;;;;;;
dunchaluim_renovation_title;Renovate Calumburgh;x
dunchaluim_renovation_desc;Calumburgh has been the capital of Mordredland ever since the declaration of independence from Scotland in 1798. The most important city of the country is still a backwards one compared to the rest of the civilized capitals. If we are to become a succesful nation in the new world we must renovate our capital.;x
scottish_trade_issue_title;Renegotiate the June Accords;x
scottish_trade_issue_desc;For years our hard earned trade revenues are being stolen by the merchants of Scotland. Upon Mordredland's independence, the June Accords served as a quick way to finish the war in exchange for mercantile concessions. However, as the economy grew and possible trade partners were kept away from us, the restrictions imposed were found opressive and unfit for a growing regional economy. This cannot continue, therefore we must try and negotiate the issue with Scotland.;x
tirsinns_law_title;The Tirsinns Law;x
tirsinns_law_desc;With the monarchy ousted, and the democratic government here to stay, our parliament has put forth a proposal. They propose the enactment of the Tirsinns Law or the Law of Free Birth, named after its champion, Prime Minister Finlay Smith, Viscount of Tirsinns. The law would provide freedom to all newborn children of slaves, and slaves of the state or crown. Slaveholders of the children's parents were to provide care for the children until the age of 21, or turn them over to the state in return for monetary compensation.;x
begin_consolidationSGR_title;Hinterland Expansion;x
begin_consolidationSGR_desc;The Hinterland regions of the South Colombian continent on our border are sparsely settled by natives and have several Mordredish outposts established in them already. The Mordredish government can now aim to establish formal control over the borderland.;x
finnish_consolidationSGR_title;Southern Expedition;x
finnish_consolidationSGR_desc;Having overcame the French threat down south nothing stands in our way of launching an expedition into the southern hinterland ripe for settlement.;x
rename_cote_nord_SGR_title;Rename the borderland;x
rename_cote_nord_SGR_desc;We have taken hold of the lost Scottish colonial lands. The old Scottish names shall be restored.;x
rename_cote_nord_ARC_title;Rename Cote Nord;x
rename_cote_nord_ARC_desc;We have managed to reclaim our land from Mordredland. Now we must restore the french names.;x
SGR_rename_Amazonia_title;Renaming the Amazon;x
SGR_rename_Amazonia_desc;We shall introduce new names for our recently acquired holdings in the Amazon.;x
manifest_destinySGR_title;Manifest Destiny;x
manifest_destinySGR_desc;It is the destiny of our people to settle and exploit the rich lands of South Columbia. With the onslaught of new European immigrants ready to fill the workforce gaps in our ever growing economy we are able to greatly expand our grip over the continent. The Amazon's and vast other lands and resources must be secured and settled by Mordredland! All will tremble beneath our boot!;x
sgr_agricultural_reform_title;Agricultural Reform;x
sgr_agricultural_reform_desc;Climate conditions and terrain have caused the inland areas of Mordredland to lack behind in development and population unlike the coastal ones. With the advent of new farming equipment we can improve the farming conditions and attract immigrants by giving out land to anyone willing to settle, from and outside of our country.;x
consolidate_congaltonia_title;Settle Congaltonia;x
consolidate_congaltonia_desc;Having tamed the sparse steppes and Guarani peoples of Congaltonia it is time to settle our people there in order to civilize it. Nothing stands on the Mordredish path of civilization!;x
accept_afro_scot_title;Afro-Scottish Rights Act;x
accept_afro_scot_desc;For centuries the Afro-Scottish community in our nation faced discrimination and oppression. Now, with slavery gone for good and the democratic government in charge for decades it is in order to accept our African community.;x
annex_ireland_title;Abolish Irish Autonomy;x
annex_ireland;For the sake of easier governance Ireland has been split into two in the past. Ulster, the northern part has been kept under direct British control while the rest of the island has been granted limited autonomy. But no more! We must end this arrangement in order to achieve complete dominance over the British Isles! Surely nothing bad will come of this?;x
second_zadar_treaty_title;Second Treaty of Zadar;x
second_zadar_treaty_desc;Istria and Dalmatia are ours once more after centuries of Venetian rule and oppression. It is now time to sign the Second Treaty of Zadar and force the Venetians to lay off their claims on our beautiful coastline.;x
trieste_treaty_title;Treaty of Trieste;x
trieste_treaty_desc;The Primorje region of Slovenia is now free from Italian rule. It is time to force the Italians to renounce their claims and rid the region of their influence.;x 
croatian_slovenia_title;Alpska Hrvatska;x
croatian_slovenia_desc;The idea of a Croatian Slovenia finds it's roots within the ideology of the Croatian Party of Rights (HSP) and the Illyrian movement. The movement was created in the Kingdom of Hungary back in the early 19th century by young Croatian intellectuals as part of a series of measures to revive the Croatian National identity. These intellectuals, cooperating alongside many Slovene members, claimed that the Slovenes were in fact Croats who merely just spoke a different dialect before the language standardization. This gives us a valid enough reason to incorporate Slovenia into our nation and eventually unite our lexicon.;x
croatian_east_title;The Croatian East;x
croatian_east_desc;The eastern lands outside of our boundaries hold both historical and cultural significance to Croatia. Backa region for instance has a large Croatian minority inhabiting it together with the Bosnian borderland, where Croatian client states were present back in the day. Therefore, we shall lay claim over these historically important regions of Croatia!;x
croatian_language_schooling_title;Teach Standardized Croatian;x
croatian_language_schooling_desc;Stanko Vraz, a prominent writer from Slovenia with popular support, advocates for the linguistic and national unity of Croatia. The inhabitants of Slovenia are nothing more than Alpine Croats who speak a different dialect. Considering this, the Sabor shall institute a series of measures to teach the standardized Croatian language based on the shtokavian dialect, not only across Slovenia but also Dalmatia in order to integrate the Italian minority.;x
establish_hazu_title;Establish HAZU;x
establish_hazu_desc;The Croatian Academy of Sciences and Arts (HAZU) was an institution established in the 2nd half of the 19th century in Zagreb. The Academy was established by the Sabor on the incentive of �akovo bishop Josip Juraj Strossmayer for the preservation and development of Croatian arts and culture.;x
form_yugoslavia_cro_title;Unify the South Slavs;x
form_yugoslavia_cro_desc;Croatia stands triumphant as the dominant Balkan power, having taken over all of the regions inhabited by croats or historically significant to it. Now we are must pursue even greater goals! Janko Draskovic, the first Croatian national revivalist, wrote in his work from 1832 "Disertacija" of a potential federation of Southern Slavs led by the Croats. Although his plans were originally to unite only the Southern Slavs in the regions of Slovenia, Croatia and Bosnia, we can greatly expand upon his ideas and utilise them. The Slavic spirit shall live on for ages!;x
claim_bulgarian_lands_title;The Bulgarian Lands;x
claim_bulgarian_lands_desc;There still lives the word of our grandfathers that all South Slavs shall be free. In Dobrudja and Thrace large Bulgarian communities inhabit like in the rest of our great nation. The Sun will shine over the Southern Slavs under the banner of Yugoslavia when the day of liberation comes, for those lands shall be liberated.;x
protect_albania_title;Securing Albania;x
protect_albania_desc;The Albanians are a small and endangered ethnic group in the southwestern Balkans, facing hardships under Ottoman rule for centuries. On the other hand, Albania's location makes for a key strategic point as it stands at the entrance into the Adriatic Sea, allowing anyone who owns the region to control the flow of goods. Albania needs to be safeguarded, both for their own safety and for our interests in the Balkans.;x
proclaim_serbian_empire_title;Proclaim the Serbian Empire;x
proclaim_serbian_empire_desc;Stefan's Legacy has been reclaimed and all historic Serbian lands have been secured under our rule once more. It is time to proclaim the Serbian Empire! �ivjela Srbija!;x
magna_albania_title;Across the Strait;x
magna_albania_desc;Kalabria and Si�ilia are home to a large Albanian minority, called the Arb�resh�. Following Skanderbeg's death in 1468, Albania was no longer able to fend for itself and quickly fell victim to Ottoman conquests. This sparked mass migrations of Albanians across the strait of Otranto into Southern Italy who ended up mass converting to catholicism, in turn creating the Arb�risht identity. It is our duty to liberate the Arb�resh� in order to achieve a truly united Albania!;x
new_serbian_capital_title;The Imperial Capital;x
new_serbian_capital_desc;The famous and honourable city of Skoplje in Macedonia used to be one of the three historical capitals of Serbia. Skoplje is also where the Serbian king Stefan Du�an was crowned emperor of the Serbs and Greeks back in 1346. Considering the central location and historical significance it shall once again be the Serbian capital!;x
claim_bosnia_ser_title;Reclaim the Bosnian Banate;x
claim_bosnia_ser_desc;The medieval Bosnian state used to be one of our client states led by Ban Tvrtko Kotromanic up until the inevitable fall of the Serbian Empire. After the Empire's collapse due to continued Ottoman conquests, Tvrtko proclaimed himself King of Bosnia and secured himself an alliance with Lazar Hrebeljanovic, ruler of the disintegrated Serbian state. Tvrtko went on to establish rule over Zeta and Dalmatia before his eventual death in 1391. The Hungarian crown seized this opportunity and in 1394 entered conflict with the new King Dabi�a whose state ended up fully subjugated. With this, the claims on Tvrtko's Bosnia shall be relinquished.;x
claim_bulgaria_ser_title;The Bulgarian vassals;x
claim_bulgaria_ser_desc;The lands encompassing greater Bulgaria used to be dependent on the Serbian Empire during the era of Ottoman conquests. With Ottoman influence waning and our nation stronger than ever it would be time to establish direct rule over the Bulgarian lands!;x
claim_greek_remains_title;The Greek campaign;x
claim_greek_remains_desc;Tsar Stefan Du�an proclaimed himself as Emperor of the Serbs and Greeks, thoughbeit this never came around as being entirely true considering that many Greek lands in Europe were still under foreign rule. The renewed Serbian Empire shall therefore continue Du�an's conquests in order to secure the antique lands of Greece!;x
greater_slovenia_title;Zedinjena Slovenija;x
greater_slovenia_desc;The programme of a United Slovenia was first formulated by Matija Majar, a Slovene priest from Carinthia. His program was published in the national conservative newspaper Kmetijske in rokodelske novice which promptly contributed to the spread of his idea. Key points of the program mentioned the unification of all Slovene lands and opposition to Croatian ambitions of integrating Slovenia.;x
greater_thervingia_desc;Gro�vesierland;x
greater_thervingia_desc;Thervingia is a petty country while on the contrary it's population is abundant and in constant search of new lands to call home. The territories in close vicinity of the Donau were often subject to settlement of Vesier merchants and other lower class peoples from our nation over the decades. As a consequence of these continued migrations, the concept of Gro�vesierland (literally Greater Thervingia) was idealised by a group of young Vesier intellectuals. Gro�vesierland envisions the expansion of Thervingia over into neighbouring lands where the Vesi settlers reside, uniting all Vesi under one banner. Donau's flow is in Thervingian hands!;x
deal_with_janissaries_title;Put down the Janissaries;x
deal_with_janissaries_desc;Ever since the start of the great decline of Ottoman influence and the declaration of the Turkish Republic, elite military regiments called the Janissaries have been causing trouble across the country. Now that we are at peace we can start stabilising the country and with that hunt down these enemies of the state.;x
embrace_hellenic_ideals_title;Embrace Hellenic Ideals;x
embrace_hellenic_ideals_desc;We are Greeks, not Romans nor Turks! We are the birthplace of Democracy and were the center of learning in antique times. All would look up to Greece but today we are only a shadow of our former selves. We must uphold the ideals of Democracy and start investing in our learning institutes, in turn becoming the lead example of a succesful Democratic nation just like Athens was.;x
megali_republican_title;Across the Hellespont;x
megali_republican_desc;Once more, as years and time go by, once more they shall be ours! The lands of Asia Minor have been settled by Greeks since antique times. Although the Anatolian hinterlands are long lost, with little to no Greeks inhabiting them, a claim could be fairly staked to the still predominantly Greek Aegean coast. Now that Greece is independent at last it would only make sense to liberate our brothers across the Hellespont.;x
smyrna_treaty_title;Treaty of Smyrna;x
smyrna_treaty_desc;The Turks have been driven out of the Aegean Coast after a decisive war where we defeated their forces. Now we ought to force the Turks to renounce their claims on our rightful lands by signing the Treaty of Smyrna!;x
build_smyrna_port_title;Ionian Shipyards;x
build_smyrna_port_desc;The Hellenic Navy calls for improvement so as to guard the Aegean Coasts as well as uphold our democratic values. Constructing the Great Shipyard of Smyrna, a wonder envisioned by our greatest of architects, would lead the way for Greek ship building across the Aegean. It would likewise revitalise Smyrna's economy whilst simultaneously preparing the Hellenic Navy for the liberation of Magna Graecia.;x
restore_magna_graecia_title;Restore Magna Graecia;x
